"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"420 Cafe x Booze 21","67 69,49 ซอย สุขุมวิท 21 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110","0884611168","ร้านขายกัญชาในกรุงเทพมหานคร","","4.6","49",""," วันจันทร์ 9:00–2:00, วันอังคาร 9:00–2:00, วันพุธ 9:00–2:00, วันพฤหัสบดี 9:00–2:00, วันศุกร์ 9:00–2:00, วันเสาร์ 9:00–2:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","16961184149795043969","13.7372518","100.5612495","http://maps.google.com/maps/place?cid=16961184149795043969","","","","",""
"420 Happy Bar Thailand (คาเฟ่กัญชา)","1359 ถ. ลาซาล แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร 10260","0813333788","ร้านขายกัญชา","https://instagram.com/420_happybar_thailand?igshid=OGQ5ZDc2ODk2ZA==","5.0","451",""," วันจันทร์ 16:00–2:00, วันอังคาร 16:00–2:00, วันพุธ 16:00–2:00, วันพฤหัสบดี 16:00–2:00, วันศุกร์ 16:00–2:00, วันเสาร์ 16:00–2:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 16:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ส่งของไวมากกกค่ะ สินค้าราคาดี เจ้าของร้านพูดจาน่ารัก บริการดี อาหารอร่อย","ได้รับ 5.0 จาก 5 ดาว,","ชอบมากครับผมเจ้าของร้านบริการดีมากบรรยากาศดีนั่งแบบชิวๆแนะนำร้านนี้เลยครับสายชิว","ได้รับ 5.0 จาก 5 ดาว,","เหล้า เบียร์ อาหาร กัญชา โดนใจจร้า ลูกค้าฝรั่งเยอะจังเลย ชอบ หล่อ ล่องลอย High 😍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOX7uRWYkkCR1sQla-DyfSdoXt8nnYAqccuse7C","1092519859778122238","13.656356299999999","100.6436366","http://maps.google.com/maps/place?cid=1092519859778122238","","","","",""
"49herb cannabis shop","49 ซอย เจริญราษฎร์ 1 แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120","0909075656","ร้านขายกัญชาในกรุงเทพมหานคร","http://49herb.com/","5.0","41",""," วันจันทร์ 16:00–23:15, วันอังคาร 16:00–23:15, วันพุธ 16:00–23:15, วันพฤหัสบดี 16:00–23:15, วันศุกร์ 16:00–23:15, วันเสาร์ 16:00–23:15, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 16:00–23:15<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","12511569543767345576","13.716610999999999","100.5205227","http://maps.google.com/maps/place?cid=12511569543767345576","","","","",""
"95weedจรัญ57","12 ซอย จรัญสนิทวงศ์ 57 แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700","0944725218","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.facebook.com/profile.php?id=100063610659263&mibextid=ZbWKwL","4.9","28",""," วันจันทร์ 6:00–1:00, วันอังคาร 6:00–1:00, วันพุธ 6:00–1:00, วันพฤหัสบดี 6:00–1:00, วันศุกร์ 6:00–1:00, วันเสาร์ 6:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 6:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ของจริงครับ รู้เรื่องเลยครับพี่ จากใจคนลำปางครับ💚","ได้รับ 5.0 จาก 5 ดาว,","ร้านดีมากครับใครชอบฟิลส่วนตัวไม่วุ่นวาย ปักหมุดเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","ต้อนรับดีมากๆครับราคาเป็นกันเองมากๆครับเชิญชิมกัญได้ครับโผม","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","5344274189457683247","13.7795695","100.48644019999999","http://maps.google.com/maps/place?cid=5344274189457683247","","","","",""
"Am’sterdam ogranic tea","ถ. รัชดาภิเษก แขวงตลาดพลู ธนบุรี กรุงเทพมหานคร 10600","0971956564","ร้านขายกัญชาในกรุงเทพมหานคร","","5.0","8",""," วันจันทร์ 17:00–0:00, วันอังคาร 17:00–0:00, วันพุธ 17:00–0:00, วันพฤหัสบดี 17:00–0:00, วันศุกร์ 17:00–0:00, วันเสาร์ 17:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 17:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipN24wQMGEOt02RQW71A5T-1nU6HdvdwjI-C5fFM","14806176301622908041","13.7187959","100.4772986","http://maps.google.com/maps/place?cid=14806176301622908041","","","","",""
"Aromatic","31 ซ.หลังสวน แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330","0954615065","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.instagram.com/aromatic.thailand/?hl=id","5.0","195",""," วันจันทร์ 10:00–0:00, วันอังคาร 10:00–0:00, วันพุธ 10:00–0:00, วันพฤหัสบดี 10:00–0:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipOzE7VFBvU8bT2phi9sukUgQsz3aRGYG2VsLjlF","4078380677800123074","","","http://maps.google.com/maps/place?cid=4078380677800123074","","","","",""
"Aromatic","31 ซ.หลังสวน แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330","0954615065","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.instagram.com/aromatic.thailand/?hl=id","5.0","195",""," วันจันทร์ 10:00–0:00, วันอังคาร 10:00–0:00, วันพุธ 10:00–0:00, วันพฤหัสบดี 10:00–0:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","4078380677800123074","","","http://maps.google.com/maps/place?cid=4078380677800123074","","","","",""
"Bangkok Cannabis Souvenir","3rd Floor, Maneeya Center (BTS Chidlom Station Exit-2 )Sky walk to Central World, แขวงลุมพินี Patumwan, กรุงเทพมหานคร 10330","0902720462","ร้านขายกัญชาในกรุงเทพมหานคร","https://bangkokcannabissouvenir.com/","5.0","800",""," วันจันทร์ 11:00–23:00, วันอังคาร 11:00–23:00, วันพุธ 11:00–23:00, วันพฤหัสบดี 11:00–23:00, วันศุกร์ 11:30–23:00, วันเสาร์ 11:30–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","We are a one-stop shop for all things such cannabis products(weed, marijuana) or dispensary shop in Thailand as well as any souvenirs and local snacks from Thailand. Find medical & recreational marijuana dispensaries, brands, deliveries, deals near...แสดงเพิ่ม","Yes","No","No","No","No","ราคา แค่ 580 บาท ได้ของราคาดีมาก มีของสมนาคุณ พนักงานน่ารักแนะนำดี พูดคุยดี","ได้รับ 5.0 จาก 5 ดาว,","ดอกสวย บริการดีมากครับ คุยแนะนำเป็นกันเองสุดสุด","ได้รับ 5.0 จาก 5 ดาว,","สินค้ามีคุณภาพ เดินทางสะดวก","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","3747564497459536986","","","http://maps.google.com/maps/place?cid=3747564497459536986","","","","",""
"BANGYA BONG ZING","8 53 ถ. กาญจนาภิเษก แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220","0922596233","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.bangyabongzing.com/kuy","4.9","18",""," วันจันทร์ 9:30–22:30, วันอังคาร 9:30–22:30, วันพุธ 9:30–22:30, วันพฤหัสบดี 9:30–22:30, วันศุกร์ 9:30–22:30, วันเสาร์ 9:30–22:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:30–22:30<div><span>เวลาทำการในวันหยุด</span></div>,","420SHOP Cannabis Store Thailand by BANGYA BONG ZINGร้าน BANGYA BONG ZING สินค้าช่อดอกกัญชาคุณภาพพรีเมี่ยมในราคาถูก ขายกัญชาปลีก-ส่งแบบอัดแท่งคุณภาพดี ปลูกแบบออแกนิคไม่ใช้สารเคมี ทำให้คุณภาพดีเป็นพิเศษทั้งยังมีกลิ่นที่โดดเด่นและปลอดภัยไร้สารเคมี100%...แสดงเพิ่ม","Yes","No","No","No","No","ของจริงครับ ผมสั่งหลายรอบ ประทับใจทุกรอบครับ บริการดีฮะประทับใจหลาย","ได้รับ 5.0 จาก 5 ดาว,","สินค้าดี มีคุณภาพครับ","ได้รับ 5.0 จาก 5 ดาว,","ของแท้ต้องแถมไฟแช็คนะค้าบ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNU-i0MNk2-MI4VqYb_SeYdm1QnW452JUy9_QoP","7810918411082181064","13.884157199999999","100.68430099999999","http://maps.google.com/maps/place?cid=7810918411082181064","","","","",""
"BBM Cannabis Dispensary - ร้านกัญชา BBM","464 แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160","0818015929","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.facebook.com/profile.php?id=100084341775018","5.0","17",""," วันจันทร์ 13:00–0:00, วันอังคาร 13:00–0:00, วันพุธ 13:00–0:00, วันพฤหัสบดี 13:00–0:00, วันศุกร์ 13:00–0:00, วันเสาร์ 13:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 13:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","พี่เจ้าของร้านบริการดีสุภาพบรรยากาศดีมากๆคับ","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าเป็นกันเอง บริการดีมากครับ ให้คำแนะนำดีครับ","ได้รับ 5.0 จาก 5 ดาว,","ของดีคุ้มราคามากครับ พ่อค้าแนะนำดีมาก ไว้มีโอกาสจะไปอุดหนุนอีกนะครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOxXGrz2rH19VGwCSASCXXnlKVdwXaKaeapAV_Y","10920371109749048634","13.740390099999999","100.36047789999999","http://maps.google.com/maps/place?cid=10920371109749048634","","","","",""
"Bhang Trippie Cannabis silom","87 ซอย สีลม 22 แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500","0989020788","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.facebook.com/profile.php?id=100092250354726&mibextid=kFxxJD","5.0","21",""," วันจันทร์ 12:00–0:00, วันอังคาร 12:00–0:00, วันพุธ 12:00–0:00, วันพฤหัสบดี 12:00–0:00, วันศุกร์ 12:00–0:00, วันเสาร์ 12:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","มาร้านกัญชาร้านนี้ครับถ้าใครหาร้านอยู่คนขายอารมดีคุยกันเองมาเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมากครับ ราคากันเอง","ได้รับ 5.0 จาก 5 ดาว,","สายเขียวต้องยกให้ร้านนี้ครับ เมาทุกตัวครับ ชอบร้านนี้เลยครับ💚🍁","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOyO3n_Pt1MnG1K8EP2WuaI08itJIQA7hkJt9cL","5870494865450962583","13.7248089","100.52281479999999","http://maps.google.com/maps/place?cid=5870494865450962583","","","","",""
"Blunt & Brunch Ratchaprarop","120/117 ถ. ราชปรารภ แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400","0936686620","ร้านขายกัญชาในกรุงเทพมหานคร","","5.0","105",""," วันจันทร์ 11:00–1:00, วันอังคาร 11:00–1:00, วันพุธ 11:00–1:00, วันพฤหัสบดี 11:00–1:00, วันศุกร์ 11:00–1:00, วันเสาร์ 11:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> ปิดทำการ,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNJ2vKc5NCJ4AQLZcK3x51J3jaBWwcrm72s1piF","9996237597040626608","13.7536115","100.54018479999999","http://maps.google.com/maps/place?cid=9996237597040626608","","","","",""
